Year,Species,SeedOriginCode,Notes
2010,acba,LA_NA_Planted_A,Supplier = Sheffields Seed Co.
2010,acba,NC_Orange_Planted_A,Collection area = 2 fecund trees at Hardwood and Gaps study sites in the Duke Forest.
2011,acba,LA_NA_Planted_B,"Supplier = Sheffields Seed Co.  From shipping tag: """"2010 Louisiana""""; lot #100372."""
2011,acba,NC_Orange_Planted_B,Collection area = 1 fecund tree at Gaps study site in the Duke Forest.  This is one of two trees from which the 2010 collection was made.
2009,acru,NC_Orange_Planted_A,"Collection area = the Duke Forest; possibly but not necessarily same area as following plantings."""
2009,acru,MA_Worcester_Planted_A,"Collection area = the Harvard Forest; in the vicinity of Torrey Hall; the forest east of Torrey Hall; and the vicinity of the Pole Barn."""
2010,acru,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2010,acru,NC_Orange_Planted_B,Collection area = the Duke Forest.  Mostly collected from immediate vicinity of warming site.
2011,acru,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2011,acru,NC_Orange_Planted_B,Collection area = the Duke Forest.  All collected from immediate vicinity of warming site.
2009,acsa,MA_Worcester_Planted_A,Collection area = the Harvard Forest.
2010,acsa,PA_NA_Planted_A,Spplier = Sheffields Seed Co.
2011,acsa,MA_Worcester_Planted_A,Collection area = the Harvard Forest.
2009,beal,MA_Worcester_Planted_A,Collection area = the Harvard Forest.
2009,beal,PA_NA_Planted_A,Supplier = Sheffields Seed Co.
2010,beal,PA_NA_Planted_B,Supplier = Sheffields Seed Co.
2011,beal,PA_NA_Planted_C,Supplier = Sheffields Seed Co.
2009,cagl,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,caov,NC_NA_Planted_A,"Supplier = Sheffields Seed Co.  From shipping tag: """"2008 North Carolina""""; lot #080274."""
2009,cofl,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,fagr,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,fagr,MA_Worcester_Planted_A,Collection area = the Harvard Forest.
2009,fagr,NC_Orange_Planted_A,Collection area = the Duke Forest.
2010,fagr,KY_NA_Planted_A,Supplier = Sheffields Seed Co.
