lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-101.7,41.3,3,0,0,-0.312326726,-2.145800966,3.5047014,0.321561152,1.130699869,2.205747522,-478278,445441
-101.7,43.3,2,0,0,-0.625992691,-2.26809127,2.914800773,0.522014854,1.253815435,2.316626373,-464756,668127
-101.7,43.8,2,0,0,-0.504682775,-2.300153487,2.59525124,0.659406043,1.319355795,2.192466128,-461382,723695
-101.7,46.8,1,0,0,-1.29439819,-2.261719124,1.133465291,1.488571303,1.718831515,2.101895638,-441215,1055818
-101.2,40.8,1,0,0,-0.261958061,-2.016729158,3.345728995,0.333316556,1.166703965,2.179535283,-439846,387263
-101.2,41.3,2,0,0,-0.393217893,-2.099483562,3.395474557,0.395232982,1.204763961,2.198926447,-436755,443029
-101.2,41.8,2,0,0,-0.59371338,-2.174300849,3.262714617,0.426105225,1.14970569,2.062829321,-433665,498770
-101.2,42.8,1,0,0,-0.656232067,-2.210483203,2.94538255,0.591977763,1.280778072,2.245869481,-427491,610152
-101.2,43.8,2,0,0,-0.526901288,-2.287559382,2.364914253,0.826273883,1.408750764,2.21528824,-421326,721369
-101.2,44.8,1,0,0,-0.71580288,-2.342922851,1.610009235,1.067006105,1.450226422,2.048960424,-415173,832378
-101.2,45.3,1,0,0,-0.91667234,-2.353381076,1.541987045,1.17684453,1.519814387,2.130937566,-412101,887791
-101.2,45.8,1,0,0,-1.066156174,-2.282857535,1.476431168,1.299384846,1.620014921,2.104267838,-409033,943135
-101.2,46.8,1,0,0,-1.344094204,-2.271424726,1.157452619,1.555767436,1.791972702,2.0639036,-402910,1053593
-101.2,47.3,4,0,0,-1.426710492,-2.282629433,0.985713164,1.690127159,1.868359477,1.980760769,-399856,1108694
-100.7,40.8,6,0,0,-0.380223065,-1.949355011,3.959377477,0.430089685,1.421936537,2.252881805,-398018,385055
-100.7,42.8,3,0,0,-0.64139534,-2.130774393,2.656522174,0.717371095,1.373855487,2.243891316,-386838,608006
-100.7,43.3,9,0,0,-0.624595859,-2.19207169,2.484815955,0.831494469,1.447288469,2.230500763,-384047,663653
-100.7,43.8,4,0,0,-0.55512666,-2.193508205,2.158100988,0.96266977,1.494405763,2.034867884,-381259,719254
-100.7,44.3,1,0,0,-0.603863153,-2.264769558,1.790502655,1.085641293,1.491993874,2.022459093,-378473,774803
-100.7,45.8,4,0,0,-1.025933181,-2.281605095,1.471722673,1.449423685,1.773444591,2.213414797,-370135,941082
-100.7,46.3,5,0,0,-1.239629237,-2.232752256,1.289649244,1.534008574,1.809998927,2.150746727,-367363,996367
-100.7,46.8,5,0,0,-1.3684159,-2.301889071,1.163914122,1.634731449,1.868577906,2.150197385,-364594,1051570
-100.2,39.8,3,0,0,-0.06046536,-1.655557615,3.508880668,0.397893447,1.210526483,1.837111074,-361187,271416
-100.2,40.8,13,0,0,-0.270119405,-1.740355958,3.692071352,0.449760312,1.431018846,2.241282162,-356178,383067
-100.2,41.3,1,0,0,-0.471424151,-1.841562805,3.112496177,0.475544856,1.282397114,2.214650151,-353675,438863
-100.2,41.8,3,0,0,-0.586024957,-1.717582731,2.800526254,0.563937383,1.275339024,1.733612846,-351173,494633
-100.2,42.8,5,0,0,-0.653529416,-1.942845582,2.507577797,0.805888375,1.411268533,1.935810765,-346173,606074
-100.2,43.3,2,0,0,-0.633010475,-2.054788848,2.341043678,0.918966004,1.47772346,1.9425391,-343676,661735
-100.2,46.3,1,0,0,-1.269526468,-2.201935967,1.294001512,1.667725013,1.938440992,2.318350722,-328746,994532
-99.7,39.8,3,0,0,0.015257883,-1.761111332,3.217810495,0.545159002,1.249962915,1.755461629,-318749,269624
-99.7,40.3,4,0,0,0.029328998,-1.631045649,4.408367568,0.511416386,1.554256132,1.7385323,-316539,325470
-99.7,40.8,2,0,0,-0.177824239,-1.607156602,3.50524,0.479745733,1.396350336,2.091873468,-314329,381300
-99.7,41.3,2,0,0,-0.475495844,-1.650481164,3.00630578,0.519180822,1.293535324,2.182037941,-312120,437109
-99.7,41.8,4,0,0,-0.577754821,-1.56373261,2.540501464,0.615694684,1.250367259,1.894724573,-309912,492891
-99.7,42.3,1,0,0,-0.633327021,-1.633596356,2.356731273,0.715315405,1.304333385,1.744170602,-307705,548642
-99.7,42.8,10,0,0,-0.62305256,-1.811888577,2.348126446,0.86747014,1.411430271,1.71757764,-305499,604357
-99.7,43.8,1,0,0,-0.608660989,-2.085198385,2.066654784,1.219771581,1.657889002,1.882125863,-301094,715657
-99.7,47.8,1,0,0,-1.600029345,-2.139787839,0.668091344,1.965883685,2.067279896,1.7975602,-283571,1158323
-99.2,38.8,1,0,0,0.218990207,-1.65546948,2.217882248,0.501316382,1.058505763,2.034950197,-280136,156310
-99.2,39.3,2,0,0,0.144371051,-1.74288177,2.32715085,0.601964948,1.160681328,1.933410388,-278219,212187
-99.2,39.8,10,0,0,0.091817972,-1.655183471,2.669711072,0.69489464,1.337722169,1.874953351,-276302,268056
-99.2,40.3,1,0,0,0.023652739,-1.529328138,2.934079607,0.565472914,1.297930582,1.901562065,-274386,323913
-99.2,40.8,6,0,0,-0.153185883,-1.47599465,2.698952313,0.549107664,1.205524293,1.840053916,-272470,379754
-99.2,41.3,2,0,0,-0.380929365,-1.472040553,2.46166465,0.618676249,1.20499823,1.798599424,-270556,435573
-99.2,41.8,4,0,0,-0.513051796,-1.556122071,2.276736297,0.674915931,1.208057903,1.808088448,-268642,491366
-99.2,42.3,3,0,0,-0.615866658,-1.62055614,2.200058999,0.792032803,1.29324353,1.732514383,-266729,547128
-99.2,42.8,8,0,0,-0.599164151,-1.714077462,2.161733134,0.941711489,1.399693466,1.637024439,-264817,602854
-99.2,43.3,10,0,0,-0.640829444,-1.808081983,2.211973834,1.11247809,1.57110851,1.628260476,-262907,658538
-99.2,43.8,2,0,0,-0.666791335,-1.987360601,1.892780527,1.262536998,1.618169113,1.759954211,-260998,714176
