kyears.bp,albx,alby,lat,lon,count,fagus.half,fagus.1,tsuga.1,tsuga.2
1,-537279,491209,41.72,-102.51,1,0,0,0,0
1,-415806,1184580,48.01,-101.53,1,0,0,0,0
1,-308531,827475,44.84,-99.91,1,0,0,0,0
1,-197660,1071343,47.07,-98.59,1,0,0,0,0
1,-220161,1183591,48.08,-98.93,1,0,0,0,0
1,-165378,1047288,46.86,-98.16,1,0,0,0,0
1,-106584,819657,44.82,-97.35,1,0,0,0,0
1,-103947,895267,45.5,-97.33,1,0,0,0,0
1,-6094,1083032,47.2,-96.08,1,0,0,0,0
1,32130,1052122,46.92,-95.58,2,0,0,0,0
1,17523,1081944,47.19,-95.77,2,0,0,0,0
1,64561,653043,43.33,-95.2,1,0,0,0,0
1,55676,973587,46.21,-95.28,2,0,0,0,0
1,51980,1057770,46.97,-95.32,1,0,0,0,0
1,63243,1081093,47.18,-95.17,3,0,0,0,0
1,45370,1136210,47.68,-95.4,1,0,0,0,0
1,109686,981959,46.28,-94.58,1,0,0,0,0
1,95696,1047145,46.87,-94.75,2,0,0,0,0
1,81530,1081276,47.18,-94.93,2,0,0,0,0
1,123458,989942,46.35,-94.4,2,0,0,0,0
1,144225,1071190,47.08,-94.11,1,0,0,0,0
1,188490,535487,42.26,-93.7,2,0,0,0,0
1,172632,621202,43.03,-93.87,1,0,0,0,0
1,169631,755077,44.23,-93.87,2,0,0,0,0
1,182176,828906,44.89,-93.69,5,0,0,0,0
1,180743,887844,45.42,-93.69,2,0,0,0,0
1,179763,960037,46.07,-93.68,1,0,0,0,0
1,178053,966655,46.13,-93.7,1,0,0,0,0
1,179918,1078627,47.14,-93.64,2,0,0,0,0
1,224492,509588,42.02,-93.27,1,0,0,0,0
1,214393,635660,43.15,-93.35,1,0,0,0,0
1,229209,761108,44.27,-93.12,1,0,0,0,0
1,224196,822250,44.82,-93.16,1,0,0,0,0
1,220637,888921,45.42,-93.18,2,0,0,0,0
1,197178,1171889,47.98,-93.38,1,0,0,0,0
1,250170,848684,45.05,-92.82,1,0,0,0,0
1,252784,1001026,46.42,-92.72,1,0,0,0,0
1,259305,1034518,46.72,-92.62,1,0,0,0,0
1,298880,1189763,48.11,-92.02,3,0,0,0,0
1,329121,1120390,47.47,-91.66,1,0,0,0,0
1,302015,1168925,47.92,-91.99,2,0,0,0,0
1,432950,-67275,36.8,-91.1,1,0,0,0,0
1,362676,752942,44.15,-91.45,1,0,0,0,0
1,356547,880843,45.3,-91.45,2,1,0,0,0
1,371286,992756,46.3,-91.19,1,1,1,1,1
1,367034,1180802,48,-91.12,2,0,0,0,0
1,463573,890085,45.33,-90.08,3,0,0,1,1
1,496161,640860,43.08,-89.87,1,0,0,0,0
1,504973,679483,43.42,-89.73,1,1,0,0,0
1,513373,722546,43.8,-89.59,1,1,1,1,0
1,503582,913858,45.52,-89.55,1,0,0,1,1
1,487033,986197,46.18,-89.7,2,0,0,1,1
1,532373,645524,43.1,-89.42,2,1,1,1,0
1,545993,738240,43.92,-89.17,2,1,0,1,1
1,545307,803011,44.5,-89.12,1,0,0,0,0
1,518208,995006,46.24,-89.29,5,1,1,1,1
1,520206,1180370,47.91,-89.09,1,0,0,1,1
1,498973,1235198,48.42,-89.32,1,0,0,0,0
1,582716,613328,42.78,-88.83,1,0,0,0,0
1,562581,837788,44.8,-88.87,1,0,0,1,1
1,570541,989993,46.16,-88.62,1,0,0,1,1
1,541040,1253740,48.56,-88.74,2,1,0,1,1
1,693624,-413475,33.56,-88.47,1,0,0,0,0
1,641374,382231,40.68,-88.34,1,0,0,0,0
1,639379,569591,42.35,-88.18,1,0,0,0,0
1,636164,687043,43.4,-88.1,1,1,1,1,0
1,618166,855577,44.92,-88.15,1,0,0,1,1
1,612080,1050081,46.67,-88.02,1,0,0,1,1
1,585859,1097898,47.12,-88.31,1,0,0,1,1
1,659582,761826,44.05,-87.73,1,1,1,1,1
1,648221,782104,44.24,-87.85,2,1,1,1,1
1,615438,1055923,46.72,-87.97,4,0,0,1,1
1,725606,490676,41.58,-87.22,2,1,1,0,0
1,737231,499630,41.65,-87.07,6,1,1,1,1
1,872462,-404164,33.5,-86.53,1,0,0,0,0
1,781446,506172,41.67,-86.53,2,1,1,0,0
1,712135,989011,46.04,-86.8,1,0,0,1,1
1,695258,1035299,46.47,-86.96,1,1,1,1,1
1,929765,-597869,31.72,-86.13,1,1,0,0,0
1,735713,1002491,46.14,-86.48,1,1,0,1,1
1,935785,-112940,36.03,-85.5,1,0,0,0,0
1,899080,43072,37.45,-85.72,1,0,0,0,0
1,792633,847448,44.7,-85.96,1,1,1,1,1
1,795351,1041083,46.43,-85.66,1,1,1,1,0
1,1052475,-746572,30.27,-85.02,1,0,0,0,0
1,982378,-260865,34.67,-85.17,1,1,1,0,0
1,887782,507399,41.58,-85.25,1,1,1,0,0
1,866862,597347,42.4,-85.38,1,1,1,0,0
1,883808,720724,43.48,-85,2,1,1,0,0
1,856381,874655,44.88,-85.12,1,1,1,1,1
1,835896,1012137,46.13,-85.18,2,1,1,1,1
1,1013911,-295481,34.33,-84.87,2,0,0,0,0
1,931000,494395,41.42,-84.75,1,1,1,0,0
1,894188,715194,43.42,-84.88,1,1,1,1,1
1,880530,898763,45.07,-84.78,1,1,1,1,1
1,858548,1038217,46.34,-84.85,2,1,1,1,1
1,836853,1209407,47.9,-84.87,2,0,0,1,0
1,828390,1242827,48.21,-84.93,1,0,0,1,0
1,1056430,-149458,35.58,-84.21,1,0,0,0,0
1,1057657,-144793,35.62,-84.19,1,0,0,0,0
1,890519,1150267,47.31,-84.26,1,1,0,1,0
1,1024543,385258,40.35,-83.8,2,1,1,0,0
1,1009972,606858,42.33,-83.63,1,1,1,0,0
1,1215988,-686869,30.62,-83.25,1,0,0,0,0
1,1213554,-675984,30.72,-83.26,2,1,1,0,0
1,1029807,698560,43.12,-83.24,1,1,1,0,0
1,1106762,319382,39.67,-82.94,1,1,1,0,0
1,1086928,571015,41.92,-82.76,1,1,1,1,1
1,1352298,-790860,29.52,-82,1,0,0,0,0
