kyears.bp,albx,alby,lat,lon,bio1,bio12,bio2,bio4,bio7,bio15
1,-537279,491209,41.72,-102.51,0.447185945,-2.231277256,3.88400511,-0.304056009,0.552890232,2.367841543
1,-415806,1184580,48.01,-101.53,-0.761116751,-2.307777792,1.461197151,1.344648462,1.573180779,2.110187601
1,-308531,827475,44.84,-99.91,0.083005555,-2.125326073,1.876464617,1.04052362,1.386920473,2.175400055
1,-197660,1071343,47.07,-98.59,-0.576821839,-2.024045775,1.616183982,1.470688741,1.75865083,1.934225098
1,-220161,1183591,48.08,-98.93,-0.866858084,-2.204957959,1.287237914,1.71129343,1.851118968,1.988249976
1,-165378,1047288,46.86,-98.16,-0.549869944,-1.86127047,1.533959141,1.513655312,1.77346665,1.772635167
1,-106584,819657,44.82,-97.35,-0.181041657,-1.664685076,0.855480516,1.110834775,1.175284578,1.7578907
1,-103947,895267,45.5,-97.33,-0.301007855,-1.665020356,0.981451052,1.202086888,1.335685482,1.78495549
1,-6094,1083032,47.2,-96.08,-0.629110488,-1.664750631,1.058272395,1.668085495,1.75098894,2.006905318
1,32130,1052122,46.92,-95.58,-0.690058257,-1.492173403,1.069574145,1.392445911,1.534589865,2.109430162
1,17523,1081944,47.19,-95.77,-0.755152378,-1.569296951,1.255805639,1.531539575,1.739137616,2.179967718
1,64561,653043,43.33,-95.2,0.041458951,-1.065692014,0.82925463,0.862147036,0.869443484,1.682296089
1,55676,973587,46.21,-95.28,-0.565751738,-1.294407206,1.043367257,1.319196061,1.466333169,1.720557411
1,51980,1057770,46.97,-95.32,-0.656842052,-1.361054789,1.333734438,1.43059829,1.627749996,2.010794869
1,63243,1081093,47.18,-95.17,-0.752228252,-1.448275426,1.470139916,1.509258891,1.778027478,2.054132225
1,45370,1136210,47.68,-95.4,-0.820607911,-1.523400868,1.459586234,1.563796088,1.817565199,1.927491954
1,109686,981959,46.28,-94.58,-0.4880357,-1.248203964,1.263405051,1.321877896,1.534417491,1.601038813
1,95696,1047145,46.87,-94.75,-0.605360091,-1.351064862,1.510922633,1.41439524,1.669198818,1.804926754
1,81530,1081276,47.18,-94.93,-0.696875113,-1.418415115,1.487673184,1.470525448,1.665275857,1.924514443
1,123458,989942,46.35,-94.4,-0.555569587,-1.269526989,1.322058259,1.318100681,1.575619827,1.666732556
1,144225,1071190,47.08,-94.11,-0.529864392,-1.294157166,1.765107116,1.352897786,1.666228492,1.671401935
1,188490,535487,42.26,-93.7,0.508233693,-0.601348798,0.312903908,0.647703348,0.504849569,1.126877215
1,172632,621202,43.03,-93.87,0.336878108,-0.661547912,0.315423588,0.774159014,0.670817231,1.246984577
1,169631,755077,44.23,-93.87,0.065423105,-1.102298777,0.324894355,1.046572648,0.890554695,1.512706777
1,182176,828906,44.89,-93.69,0.086568667,-1.120109119,0.49758069,1.136590521,1.033221082,1.702846308
1,180743,887844,45.42,-93.69,-0.167083823,-1.194187619,0.493864103,1.145539506,1.097527337,1.777972211
1,179763,960037,46.07,-93.68,-0.412523627,-1.265919507,0.708215004,1.200474808,1.301291495,1.794323037
1,178053,966655,46.13,-93.7,-0.519780166,-1.272587239,1.232338498,1.233163991,1.453133665,1.747323448
1,179918,1078627,47.14,-93.64,-0.714444921,-1.281220511,1.447142989,1.313961716,1.5156912,1.766120383
1,224492,509588,42.02,-93.27,0.666794539,-0.567993933,0.106036053,0.504531508,0.319544397,0.927938855
1,214393,635660,43.15,-93.35,0.13819669,-0.804923359,-0.283456743,0.900921004,0.679772341,1.282749677
1,229209,761108,44.27,-93.12,0.044861882,-0.971032679,0.083826773,1.048045869,0.888038204,1.40748505
1,224196,822250,44.82,-93.16,0.040241238,-1.057622474,-0.114511534,1.024682916,0.812535146,1.284069651
1,220637,888921,45.42,-93.18,-0.184878786,-1.130800308,0.042552469,1.042327601,0.947791125,1.513415596
1,197178,1171889,47.98,-93.38,-0.925484943,-1.227548659,0.950352044,1.295224034,1.394643153,1.532448805
1,250170,848684,45.05,-92.82,0.006147121,-1.015312322,0.227262499,0.906720323,0.844131181,1.258522084
1,252784,1001026,46.42,-92.72,-0.476115401,-1.190338718,0.726197111,1.025330728,1.110027353,1.63564771
1,259305,1034518,46.72,-92.62,-0.69086266,-1.204755259,0.868585543,1.046737134,1.186662082,1.537802055
1,298880,1189763,48.11,-92.02,-1.208699139,-1.073841904,0.739035367,1.251343851,1.38511263,1.222627545
1,329121,1120390,47.47,-91.66,-1.065031594,-1.033550001,-0.022021947,0.481102998,0.473599114,1.163350708
1,302015,1168925,47.92,-91.99,-1.14647582,-1.030146246,0.481482603,0.798491599,0.935802402,1.237137233
1,432950,-67275,36.8,-91.1,1.912222603,0.500611703,1.623556994,-0.884840127,-0.617429647,-0.609248073
1,362676,752942,44.15,-91.45,0.003297169,-0.956517535,-0.095378432,0.77707387,0.608870915,1.241917286
1,356547,880843,45.3,-91.45,-0.32030528,-1.087559479,0.575015527,0.852414359,0.920612689,1.350749642
1,371286,992756,46.3,-91.19,-0.614258744,-0.997593692,0.971459409,0.575585828,0.844698266,1.330591363
1,367034,1180802,48,-91.12,-1.235214516,-0.982214068,0.697373968,0.735258701,0.952981492,1.153449627
1,463573,890085,45.33,-90.08,-0.58445279,-0.826705955,0.49682629,0.745264329,0.797124761,1.128008042
1,496161,640860,43.08,-89.87,0.280973552,-0.520297592,-0.031863184,0.322024301,0.193888056,0.57558843
1,504973,679483,43.42,-89.73,0.120301344,-0.587503102,0.027969515,0.367215603,0.28143896,0.714980627
1,513373,722546,43.8,-89.59,-0.027706827,-0.634280968,0.245360181,0.492728454,0.484984112,0.909230628
1,503582,913858,45.52,-89.55,-0.615691546,-0.694353321,0.809037821,0.699251194,0.830143089,1.039428431
1,487033,986197,46.18,-89.7,-0.896174428,-0.793404097,1.106551614,0.570178057,0.882313228,1.12423151
1,532373,645524,43.1,-89.42,0.119351977,-0.53780101,-0.176407949,0.417792624,0.252436027,0.586412
1,545993,738240,43.92,-89.17,0.029748735,-0.654561301,0.058997279,0.536315423,0.469417175,0.700098404
1,545307,803011,44.5,-89.12,-0.176338623,-0.784352084,0.295977802,0.648751051,0.643969386,0.844261272
1,518208,995006,46.24,-89.29,-0.931103035,-0.731472934,1.237506098,0.559246303,0.898473897,1.002726768
1,520206,1180370,47.91,-89.09,-0.884898656,-0.826607698,0.413851008,0.632941337,0.800845371,0.753064104
1,498973,1235198,48.42,-89.32,-1.226440959,-1.028192217,0.460434608,0.908023099,1.09062156,0.645945581
1,582716,613328,42.78,-88.83,0.284656517,-0.37967473,-0.441847477,0.372941022,0.141026756,0.347461167
1,562581,837788,44.8,-88.87,-0.320559654,-0.702795957,0.658865533,0.655947308,0.761654063,0.881585605
1,570541,989993,46.16,-88.62,-0.923437659,-0.657606681,1.401278957,0.545354398,0.903340334,0.737757315
1,541040,1253740,48.56,-88.74,-1.125863748,-0.811653731,0.466419937,0.798103627,0.986949957,0.541983053
1,693624,-413475,33.56,-88.47,2.703297392,1.46652749,1.919668063,-1.740826691,-1.241585204,-0.288009841
1,641374,382231,40.68,-88.34,0.877637149,-0.203893868,-0.287320568,-0.076225793,-0.306859514,-0.060518682
1,639379,569591,42.35,-88.18,0.448885878,-0.347569718,-0.685188549,0.104907122,-0.178540123,0.131147029
1,636164,687043,43.4,-88.1,0.145880089,-0.690879566,-1.225737855,0.26322239,-0.118497414,0.275807925
1,618166,855577,44.92,-88.15,-0.214807313,-0.869837115,0.094663059,0.501867552,0.477171498,0.609073963
1,612080,1050081,46.67,-88.02,-0.884236193,-0.455794575,1.151218739,0.437080977,0.751010188,0.243655586
1,585859,1097898,47.12,-88.31,-0.9356167,-0.487492677,0.587054261,0.456568977,0.656364478,0.207515711
1,659582,761826,44.05,-87.73,0.15817097,-0.788655023,-1.553366692,0.02393478,-0.403855171,0.245247551
1,648221,782104,44.24,-87.85,0.01016711,-0.906199791,-1.133536412,0.109762435,-0.206976805,0.340029759
1,615438,1055923,46.72,-87.97,-0.81597487,-0.258310133,0.385147397,0.321001628,0.443907518,-0.068660189
1,725606,490676,41.58,-87.22,0.766598881,-0.283173949,-0.460690851,-0.162049872,-0.416396822,-0.003270318
1,737231,499630,41.65,-87.07,0.695409583,-0.594983198,-0.344404023,-0.189212092,-0.407664882,0.014771525
1,872462,-404164,33.5,-86.53,2.631155011,1.488955131,1.974817625,-1.735523809,-1.258836324,-0.331656932
1,781446,506172,41.67,-86.53,0.711669206,-0.051685547,-1.005990581,-0.290539561,-0.668639656,-0.253630073
1,712135,989011,46.04,-86.8,-0.405135132,-0.55657278,-0.514025262,0.103076919,-0.060138472,-0.002368194
1,695258,1035299,46.47,-86.96,-0.586291264,-0.441162303,-0.502016609,0.087055041,-0.007740166,-0.070241386
1,929765,-597869,31.72,-86.13,3.013713836,1.637359183,2.374003629,-2.212593626,-1.470868596,-0.415608745
1,735713,1002491,46.14,-86.48,-0.570721094,-0.546968768,-0.606651798,-0.020405486,-0.10096858,-0.184142526
1,935785,-112940,36.03,-85.5,2.061761732,1.402211058,2.073727133,-1.611949924,-1.128485504,-0.65174957
1,899080,43072,37.45,-85.72,1.678291524,1.340801044,1.978240527,-1.022274033,-0.592943406,-0.902236257
1,792633,847448,44.7,-85.96,-0.173959955,-0.612606115,-0.435648415,-0.195067431,-0.242355071,-0.031095212
1,795351,1041083,46.43,-85.66,-0.551264298,-0.633917357,-0.644793719,-0.044005633,-0.126753037,-0.217614092
1,1052475,-746572,30.27,-85.02,3.261911336,2.180854534,0.393067409,-2.67887174,-2.339391086,-0.30651474
1,982378,-260865,34.67,-85.17,2.100171349,1.833435025,1.422593723,-1.572711998,-1.236777473,-0.360705521
1,887782,507399,41.58,-85.25,0.742545321,-0.308466609,-0.439797219,-0.286215847,-0.445023365,-0.274570526
1,866862,597347,42.4,-85.38,0.618872031,-0.398796848,-0.037800225,-0.309193212,-0.395757765,-0.172098353
1,883808,720724,43.48,-85,0.260345271,-0.547166221,-0.377377553,-0.161054614,-0.328101463,-0.067784934
1,856381,874655,44.88,-85.12,-0.210825337,-0.780804672,-0.292418507,-0.150857086,-0.151033594,-0.013825415
1,835896,1012137,46.13,-85.18,-0.565990736,-0.608910527,-0.665390499,-0.04171177,-0.118338364,-0.274377328
1,1013911,-295481,34.33,-84.87,2.255370979,1.849213285,1.489915802,-1.715128157,-1.329519577,-0.409820906
1,931000,494395,41.42,-84.75,0.708984353,-0.235001092,-0.098538521,-0.31244896,-0.400026307,-0.275654973
1,894188,715194,43.42,-84.88,0.310524409,-0.789782338,-0.351412105,-0.088696921,-0.248425627,-0.007993755
1,880530,898763,45.07,-84.78,-0.314902797,-0.908546553,-0.181422769,-0.141080904,-0.087952276,0.058994798
1,858548,1038217,46.34,-84.85,-0.60695086,-0.534195874,-0.686501822,-0.005362776,-0.094012839,-0.274818634
1,836853,1209407,47.9,-84.87,-1.170512594,0.344298958,-0.178872217,0.482110772,0.451923316,-0.66230696
1,828390,1242827,48.21,-84.93,-1.508944606,-0.14980073,0.459753036,0.807467403,0.908997027,-0.512669773
1,1056430,-149458,35.58,-84.21,1.791223752,2.041291852,1.372041805,-1.660309367,-1.377048115,-0.677629689
1,1057657,-144793,35.62,-84.19,1.924606925,1.494497055,1.486033769,-1.44389602,-1.217097714,-0.544949578
1,890519,1150267,47.31,-84.26,-1.056438953,0.841023383,0.07190678,0.373954756,0.473599946,-0.43995085
1,1024543,385258,40.35,-83.8,0.766449679,0.057768982,0.527482791,-0.510278979,-0.493463735,-0.284864294
1,1009972,606858,42.33,-83.63,0.617619126,-0.502322945,-0.476513459,-0.304075675,-0.487667978,-0.445756601
1,1215988,-686869,30.62,-83.25,3.41383512,2.202958207,1.403452706,-2.990964313,-2.288013283,0.365009459
1,1213554,-675984,30.72,-83.26,3.259986393,1.685300896,2.316672402,-2.699792734,-1.821949071,0.162576155
1,1029807,698560,43.12,-83.24,0.266494849,-0.842868599,-1.27212118,-0.394850422,-0.694226757,-0.35670583
1,1106762,319382,39.67,-82.94,1.039716013,0.15999017,0.205296241,-0.786556243,-0.828406857,-0.22100604
1,1086928,571015,41.92,-82.76,0.668563945,-0.397943951,-1.283767278,-0.464860615,-0.79147806,-0.361439823
1,1352298,-790860,29.52,-82,3.522171988,2.104487094,0.978882293,-3.34418491,-2.709178699,1.33977275
1,1135516,400373,40.35,-82.47,0.845226822,0.149670743,-0.205568316,-0.795854463,-0.86770059,-0.30043977
1,1105803,693410,42.98,-82.32,0.385317247,-0.625122176,-1.561898614,-0.407105215,-0.813840022,-0.831816252
