"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
Ecoregions_and_Potential_Natural_Vegetation_on_25km_Grid.csv,ID,NA,2904 to 32582,unique grid point identifier
,LATITUDE,decimal degrees,25.181 to 82.975,latitude of grid point in decimal degrees
,LONGITUDE,decimal degrees,-167.623 to -52.757,longitude of grid point in decimal degrees
,ROW,NA,66 to 311,row identifier (y-coordinate)
,COL,NA,1 to 257,column identifier (x-coordinate)
,ELEVATION,meters,-115 to 3736,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,COUNTRY,NA,NA,country designation of grid point
,STATE_PROVINCE_or_TERRITORY,NA,NA,"state (United States), province, or territory (Canada) designation of grid point"
,COUNTY,NA,NA,county designation of grid point in the United States
,BAILEY_IDENTIFIER,NA,1 to 56,numeric identifier of Bailey ecoregion classification
,BAILEY_DOMAIN_(LEVEL_I),NA,NA,level I ecoregion classification from Bailey (1997)
,BAILEY_DIVISION_(LEVEL_II),NA,NA,level II ecoregion classification from Bailey (1997)
,BAILEY_PROVINCE_(LEVEL_III),NA,NA,level III ecoregion classification from Bailey (1997)
,KUCHLER_IDENTIFIER,NA,1 to 910,numeric identifier of Kuchler potential natural vegetation classification; -9999 values indicate that the grid point is located in Canada or is classified as Glaciers or Water
,KUCHLER_POTENTIAL_NATURAL_VEGETATION_LEVEL_I,NA,NA,level I potential natural vegetation classification from Kuchler (1985)
,KUCHLER_POTENTIAL_NATURAL_VEGETATION_LEVEL_II,NA,NA,level II potential natural vegetation classification from Kuchler (1985)
,KUCHLER_POTENTIAL_NATURAL_VEGETATION_LEVEL_III,NA,NA,level III potential natural vegetation classification from Kuchler (1985)
,WWF_IDENTIFIER,NA,14 to 156,numeric identifier of WWF ecoregion classification; -9999 values indicate that the grid point is classified as Lake or Rock and ice
,WWF_LEVEL_I,NA,NA,level I ecoregion classification from Ricketts and others (1999)
,WWF_MAJOR_HABITAT_TYPES_(LEVEL_II),NA,NA,level II ecoregion classification from Ricketts and others (1999)
,WWF_ECOREGION_(LEVEL_III),NA,NA,level III ecoregion classification from Ricketts and others (1999)
,,,,
Modern_Climate_and_Bioclimate_on_25km_Grid.csv,ID,NA,2904 to 32582,unique grid point identifier
,LATITUDE,decimal degrees,25.181 to 82.975,latitude of grid point in decimal degrees
,LONGITUDE,decimal degrees,-167.623 to -52.757,longitude of grid point in decimal degrees
,ROW,NA,66 to 311,row identifier (y-coordinate)
,COL,NA,1 to 257,column identifier (x-coordinate)
,ELEVATION,meters,-115 to 3736,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,COUNTRY,NA,NA,country designation of grid point
